1,"Lobelia kauaensis"
2,"Lobelia villosa"
3,"Lobelia gloria-montis"
4,"Trematolobelia kauaiensis"
5,"Trematolobelia macrostachys"
6,"Lobelia hypoleuca"
7,"Lobelia yuccoides"
8,"Lobelia niihauensis"
9,"Brighamia insignis"
10,"Brighamia rockii"
11,"Delissea rhytidosperma"
12,"Delissea subcordata"
13,"Cyanea pilosa"
14,"Cyanea acuminata"
15,"Cyanea hirtella"
16,"Cyanea coriacea"
17,"Cyanea leptostegia"
18,"Clermontia kakeana"
19,"Clermontia parviflora"
20,"Clermontia arborescens"
21,"Clermontia fauriei"
